"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Ants.nlogo"
"Evaoration rate experiment"
"12/04/2024 14:12:22:463 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","evaporation-rate","population","diffusion-rate","[step]","ticks"
"3","0","125","50","957","957"
"5","0","125","50","1012","1012"
"1","0","125","50","1178","1178"
"4","0","125","50","1217","1217"
"11","1","125","50","868","868"
"10","0","125","50","1202","1202"
"9","0","125","50","1148","1148"
"8","0","125","50","1063","1063"
"7","0","125","50","1636","1636"
"6","0","125","50","1193","1193"
"2","0","125","50","1412","1412"
"12","1","125","50","965","965"
"13","1","125","50","857","857"
"15","1","125","50","896","896"
"14","1","125","50","831","831"
"18","1","125","50","863","863"
"16","1","125","50","888","888"
"19","1","125","50","825","825"
"21","2","125","50","664","664"
"17","1","125","50","937","937"
"22","2","125","50","665","665"
"20","1","125","50","844","844"
"23","2","125","50","672","672"
"25","2","125","50","690","690"
"27","2","125","50","661","661"
"24","2","125","50","720","720"
"29","2","125","50","698","698"
"26","2","125","50","722","722"
"28","2","125","50","713","713"
"30","2","125","50","679","679"
"32","3","125","50","674","674"
"33","3","125","50","651","651"
"34","3","125","50","604","604"
"36","3","125","50","607","607"
"38","3","125","50","642","642"
"31","3","125","50","1031","1031"
"37","3","125","50","622","622"
"40","3","125","50","652","652"
"35","3","125","50","1056","1056"
"41","4","125","50","647","647"
"44","4","125","50","587","587"
"45","4","125","50","631","631"
"42","4","125","50","962","962"
"39","3","125","50","1023","1023"
"46","4","125","50","563","563"
"43","4","125","50","926","926"
"48","4","125","50","584","584"
"49","4","125","50","592","592"
"50","4","125","50","586","586"
"52","5","125","50","838","838"
"47","4","125","50","882","882"
"54","5","125","50","599","599"
"53","5","125","50","777","777"
"56","5","125","50","879","879"
"58","5","125","50","542","542"
"59","5","125","50","557","557"
"60","5","125","50","594","594"
"55","5","125","50","835","835"
"51","5","125","50","1148","1148"
"57","5","125","50","918","918"
"61","6","125","50","831","831"
"64","6","125","50","840","840"
"63","6","125","50","869","869"
"67","6","125","50","536","536"
