"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Traffic Basic.nlogo"
"experiment"
"12/13/2024 22:11:59:354 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-4","4"
"[run number]","acceleration","number-of-cars","deceleration","[step]","mean [speed] of turtles"
"10","0.0025","20","0.014","300","0.4250354968742756"
"4","0.0025","20","0.014","300","0.38457643295176747"
"9","0.0025","20","0.014","300","0.7154988746597905"
"3","0.0025","20","0.014","300","0.5774906293472386"
"7","0.0025","20","0.014","300","0.4063473878606397"
"8","0.0025","20","0.014","300","0.43828744992881585"
"2","0.0025","20","0.014","300","0.6090121382323772"
"5","0.0025","20","0.014","300","0.697977898272653"
"12","0.0025","20","0.014","300","0.4471183105145527"
"14","0.0025","20","0.014","300","0.41192430916470313"
"15","0.0025","20","0.014","300","0.4314875776575332"
"13","0.0025","20","0.014","300","0.48973369117361915"
"11","0.0025","20","0.014","300","0.4367797150440945"
"16","0.0025","20","0.014","300","0.4438344185569667"
"6","0.0025","20","0.014","300","0.2750922809346407"
"1","0.0025","20","0.014","300","0.6265211247190721"
"21","0.0025","20","0.014","300","0.44072378536121126"
"23","0.0025","20","0.014","300","0.44892908235056617"
"24","0.0025","20","0.014","300","0.6658717172681466"
"26","0.0025","20","0.014","300","0.417031723938765"
"18","0.0025","20","0.014","300","0.6151179769015591"
"17","0.0025","20","0.014","300","0.5538113817531182"
"19","0.0025","20","0.014","300","0.6562281123419849"
"20","0.0025","20","0.014","300","0.719920421917785"
"22","0.0025","20","0.014","300","0.4884069834852913"
"28","0.0025","20","0.014","300","0.624290709169117"
"29","0.0025","20","0.014","300","0.38367091866187775"
"30","0.0025","20","0.014","300","0.3729946316672394"
"25","0.0025","20","0.014","300","0.5013852352472845"
"31","0.0025","20","0.014","300","0.437679801945096"
"32","0.0025","20","0.014","300","0.3685350931846699"
"27","0.0025","20","0.014","300","0.5693779593721603"
"36","0.0025","20","0.014","300","0.40640557838024083"
"33","0.0025","20","0.014","300","0.464032808742049"
"38","0.0025","20","0.014","300","0.4877617043624488"
"34","0.0025","20","0.014","300","0.4314688529852894"
"40","0.0025","20","0.014","300","0.6168320931577791"
"43","0.0025","20","0.014","300","0.35819450301898575"
"39","0.0025","20","0.014","300","0.5264248110998623"
"37","0.0025","20","0.014","300","0.3622945514831834"
"42","0.0025","20","0.014","300","0.6063927639740674"
"35","0.0025","20","0.014","300","0.370519177646555"
"49","0.0025","20","0.014","300","0.41973818432457594"
"51","0.0025","20","0.014","300","0.45295122686504996"
"50","0.0025","20","0.014","300","0.619619629174365"
"47","0.0025","20","0.014","300","0.44203165286623164"
"54","0.0025","20","0.014","300","0.5110122879894927"
"53","0.0025","20","0.014","300","0.38239906523543493"
"52","0.0025","20","0.014","300","0.6859837199563531"
"45","0.0025","20","0.014","300","0.48136791919464256"
"41","0.0025","20","0.014","300","0.44743101652377043"
"44","0.0025","20","0.014","300","0.37447936214685995"
"48","0.0025","20","0.014","300","0.5683069622499552"
"46","0.0025","20","0.014","300","0.5148840141055029"
"55","0.0025","20","0.014","300","0.3922076173375264"
"56","0.0025","20","0.014","300","0.5477622784384961"
"57","0.0025","20","0.014","300","0.3702023460255414"
"60","0.0025","20","0.014","300","0.40177691841383967"
"58","0.0025","20","0.014","300","0.5658645514488352"
"61","0.0025","20","0.014","300","0.3396543028396629"
"62","0.0025","20","0.014","300","0.3595833832737945"
"59","0.0025","20","0.014","300","0.4927553381106451"
"64","0.0025","20","0.014","300","0.4573728979756587"
"63","0.0025","20","0.014","300","0.5146132084401602"
"65","0.0025","20","0.014","300","0.45387404979541673"
"66","0.0025","20","0.014","300","0.6016432712891601"
"67","0.0025","20","0.014","300","0.6333546618097473"
"68","0.0025","20","0.014","300","0.27726922286268907"
"69","0.0025","20","0.014","300","0.447746367584746"
"70","0.0025","20","0.014","300","0.35397853507606064"
"71","0.0025","20","0.014","300","0.4672914178211154"
"74","0.0025","20","0.014","300","0.37141319402112455"
"73","0.0025","20","0.014","300","0.5176013920501045"
"76","0.0025","20","0.014","300","0.48221665167054456"
"75","0.0025","20","0.014","300","0.40738746688385463"
"72","0.0025","20","0.014","300","0.46310061634326083"
"79","0.0025","20","0.014","300","0.38693150778818736"
"80","0.0025","20","0.014","300","0.3922700785544363"
"81","0.0025","20","0.014","300","0.4188988587666652"
"82","0.0025","20","0.014","300","0.5881112610699968"
"77","0.0025","20","0.014","300","0.4163797445176284"
"78","0.0025","20","0.014","300","0.3342881073768963"
"83","0.0025","20","0.014","300","0.40858172816136895"
"84","0.0025","20","0.014","300","0.44760508934348886"
"90","0.0025","20","0.014","300","0.47327000924417095"
"89","0.0025","20","0.014","300","0.364663232307682"
"91","0.0025","20","0.014","300","0.5275929769206629"
"87","0.0025","20","0.014","300","0.37567351117649656"
"86","0.0025","20","0.014","300","0.38845264386100065"
"92","0.0025","20","0.014","300","0.3901589158759219"
"85","0.0025","20","0.014","300","0.3399141753256752"
"88","0.0025","20","0.014","300","0.44149744431704746"
"93","0.0025","20","0.014","300","0.5080620557299739"
"94","0.0025","20","0.014","300","0.45747167517310805"
"98","0.0025","20","0.014","300","0.5133631372217892"
"97","0.0025","20","0.014","300","0.4597843977331513"
"96","0.0025","20","0.014","300","0.39719969847918335"
"99","0.0025","20","0.014","300","0.3222774044802078"
"95","0.0025","20","0.014","300","0.4791808534973316"
"102","0.0025","20","0.017","300","0.19870000477379193"
"101","0.0025","20","0.017","300","0.1952674987609357"
"100","0.0025","20","0.014","300","0.4243700715590683"
"104","0.0025","20","0.017","300","0.20565156026215567"
"107","0.0025","20","0.017","300","0.4569535563310659"
"108","0.0025","20","0.017","300","0.19862854600238825"
"109","0.0025","20","0.017","300","0.21057764719254174"
"110","0.0025","20","0.017","300","0.5088039629854789"
"111","0.0025","20","0.017","300","0.217414036155933"
"112","0.0025","20","0.017","300","0.20386848441074568"
"105","0.0025","20","0.017","300","0.2082572359068679"
"106","0.0025","20","0.017","300","0.20578558000635788"
"103","0.0025","20","0.017","300","0.21716363044545042"
"114","0.0025","20","0.017","300","0.400236464183542"
"115","0.0025","20","0.017","300","0.389760955564762"
"117","0.0025","20","0.017","300","0.20788589814781525"
"116","0.0025","20","0.017","300","0.2275127226539167"
"119","0.0025","20","0.017","300","0.20441814242777828"
"118","0.0025","20","0.017","300","0.21049535124727586"
"121","0.0025","20","0.017","300","0.20983626465086633"
"120","0.0025","20","0.017","300","0.20651685882690668"
"127","0.0025","20","0.017","300","0.3487810323429739"
"122","0.0025","20","0.017","300","0.318883882268792"
"113","0.0025","20","0.017","300","0.24124007118466756"
"123","0.0025","20","0.017","300","0.2031647267636627"
"128","0.0025","20","0.017","300","0.3249684703557137"
"125","0.0025","20","0.017","300","0.5184329405482905"
"129","0.0025","20","0.017","300","0.21214339918606168"
"130","0.0025","20","0.017","300","0.3362335144074037"
