"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Ants.nlogo"
"Evaporation rate experiment"
"12/06/2024 23:13:31:351 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","evaporation-rate","population","diffusion-rate","[step]","ticks","ticks_blue","ticks_sky","ticks_cyan"
"8","0","125","50","1110","1110","1110","826","531"
"11","0","125","50","1148","1148","1148","738","429"
"4","0","125","50","986","986","986","771","244"
"12","0","125","50","1194","1194","1194","768","321"
"7","0","125","50","1088","1088","1088","704","493"
"2","0","125","50","1179","1179","1179","568","754"
"6","0","125","50","1240","1240","1240","775","363"
"3","0","125","50","1255","1255","1255","636","555"
"10","0","125","50","1040","1040","1040","613","540"
"5","0","125","50","1382","1382","1382","886","309"
"9","0","125","50","1223","1223","1223","756","759"
"1","0","125","50","1019","1019","1019","651","501"
"14","0","125","50","1352","1352","1352","734","316"
"13","0","125","50","1635","1635","1635","648","427"
"15","0","125","50","1189","1189","1189","999","387"
"17","0","125","50","921","921","921","689","342"
"16","0","125","50","1256","1256","1256","843","500"
"19","0","125","50","1228","1228","1228","647","278"
"20","0","125","50","1214","1214","1214","684","357"
"18","0","125","50","1164","1164","1164","625","604"
"22","0","125","50","1020","1020","1020","656","665"
"21","0","125","50","1318","1318","1318","605","555"
"23","0","125","50","1136","1136","1136","650","429"
"26","0","125","50","950","950","950","823","506"
"25","0","125","50","1250","1250","1250","664","273"
"24","0","125","50","1217","1217","1217","1075","408"
"27","0","125","50","1334","1334","1334","598","370"
"29","0","125","50","1173","1173","1173","898","657"
"31","0","125","50","1183","1183","1183","529","586"
"30","0","125","50","1290","1290","1290","651","439"
"28","0","125","50","1352","1352","1352","840","281"
"32","0","125","50","1210","1210","1210","700","569"
"36","0","125","50","1300","1300","1300","755","293"
"34","0","125","50","1069","1069","1069","758","371"
"37","0","125","50","1004","1004","1004","750","323"
"33","0","125","50","1309","1309","1309","574","493"
"35","0","125","50","1201","1201","1201","572","309"
"40","0","125","50","1050","1050","1050","649","531"
"39","0","125","50","1263","1263","1263","670","661"
"41","0","125","50","1101","1101","1101","763","490"
"42","0","125","50","1058","1058","1058","857","402"
"45","0","125","50","1005","1005","1005","845","572"
"47","0","125","50","878","878","878","673","499"
"44","0","125","50","988","988","988","750","373"
"38","0","125","50","1082","1082","1082","687","453"
"43","0","125","50","1380","1380","1380","720","255"
"48","0","125","50","1177","1177","1177","862","500"
"46","0","125","50","1159","1159","1159","637","462"
"50","0","125","50","1033","1033","1033","750","533"
"49","0","125","50","965","965","965","705","547"
"53","0","125","50","1004","1004","1004","710","505"
"52","0","125","50","1299","1299","1299","601","285"
"51","0","125","50","1360","1360","1360","668","479"
"56","0","125","50","1027","1027","1027","831","548"
"55","0","125","50","1517","1517","1517","642","314"
"54","0","125","50","1693","1693","1693","528","357"
"58","0","125","50","1172","1172","1172","585","514"
"61","0","125","50","982","982","982","678","608"
"59","0","125","50","1225","1225","1225","698","467"
"60","0","125","50","1168","1168","1168","1103","458"
"63","0","125","50","1184","1184","1184","702","315"
"65","0","125","50","1100","1100","1100","672","395"
"62","0","125","50","1312","1312","1312","670","390"
"57","0","125","50","1484","1484","1484","554","540"
"67","0","125","50","1137","1137","1137","683","332"
"64","0","125","50","1342","1342","1342","650","462"
"66","0","125","50","1340","1340","1340","826","344"
"68","0","125","50","1446","1446","1446","738","471"
"69","0","125","50","1292","1292","1292","663","641"
"71","0","125","50","1098","1098","1098","673","514"
"70","0","125","50","1403","1403","1403","831","311"
"77","0","125","50","1115","1115","1115","718","315"
"74","0","125","50","1274","1274","1274","722","605"
"73","0","125","50","1470","1470","1470","774","403"
"80","0","125","50","1168","1168","1168","680","547"
"75","0","125","50","1255","1255","1255","987","382"
"72","0","125","50","1467","1467","1467","619","548"
"78","0","125","50","1274","1274","1274","745","462"
"76","0","125","50","1147","1147","1147","740","391"
"79","0","125","50","1291","1291","1291","836","569"
"83","0","125","50","1096","1096","1096","781","526"
"81","0","125","50","1197","1197","1197","726","428"
"84","0","125","50","1051","1051","1051","722","380"
