"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Helechos.nlogo"
"vidaAgentes"
"11/18/2024 14:14:29:332 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num_agentes","num_pasos","[step]","ticks"
"2","50","1","193","193"
"7","50","1","229","229"
"6","50","1","250","250"
"3","50","1","272","272"
"5","50","1","279","279"
"9","50","1","247","247"
"11","50","1","190","190"
"10","50","1","205","205"
"8","50","1","226","226"
"13","50","1","161","161"
"14","50","1","193","193"
"12","50","1","191","191"
"4","50","1","267","267"
"16","50","1","254","254"
"15","50","1","219","219"
"17","50","1","210","210"
"20","50","1","144","144"
"19","50","1","196","196"
"21","50","1","249","249"
"27","50","1","141","141"
"23","50","1","209","209"
"25","50","1","192","192"
"18","50","1","314","314"
"26","50","1","221","221"
"24","50","1","200","200"
"28","50","1","243","243"
"29","50","1","187","187"
"31","50","1","144","144"
"33","50","1","204","204"
"30","50","1","153","153"
"37","50","1","159","159"
"34","50","1","200","200"
"38","50","1","223","223"
"22","50","1","210","210"
"36","50","1","226","226"
"35","50","1","199","199"
"32","50","1","172","172"
"39","50","1","240","240"
"40","50","1","348","348"
"42","50","1","184","184"
"45","50","1","192","192"
"48","50","1","190","190"
"41","50","1","227","227"
"46","50","1","202","202"
"44","50","1","207","207"
"47","50","1","196","196"
"43","50","1","261","261"
"49","50","1","313","313"
"53","50","1","192","192"
"51","50","1","239","239"
"54","50","1","213","213"
"52","50","1","189","189"
"57","50","1","232","232"
"59","50","1","150","150"
"50","50","1","263","263"
"61","50","1","199","199"
"58","50","1","230","230"
"62","50","1","277","277"
"56","50","1","312","312"
"63","50","1","285","285"
"60","50","1","218","218"
"67","50","1","169","169"
"64","50","1","193","193"
"55","50","1","269","269"
"65","50","1","210","210"
"66","50","1","220","220"
"71","50","1","143","143"
"70","50","1","408","408"
"74","50","1","177","177"
"69","50","1","380","380"
"75","50","1","216","216"
"73","50","1","177","177"
"68","50","1","226","226"
"76","50","1","243","243"
"1","50","1","250","250"
"79","50","1","255","255"
"80","50","1","240","240"
"72","50","1","331","331"
"81","50","1","212","212"
"78","50","1","259","259"
"83","50","1","272","272"
"82","50","1","275","275"
"85","50","1","260","260"
"86","50","1","205","205"
"89","50","1","214","214"
"90","50","1","224","224"
"88","50","1","183","183"
"92","50","1","184","184"
"93","50","1","167","167"
"87","50","1","233","233"
"91","50","1","199","199"
"77","50","1","244","244"
"98","50","1","235","235"
"95","50","1","315","315"
"97","50","1","266","266"
"94","50","1","289","289"
"101","100","1","168","168"
"103","100","1","150","150"
"96","50","1","234","234"
"104","100","1","149","149"
"99","50","1","204","204"
"107","100","1","132","132"
"105","100","1","135","135"
"102","100","1","180","180"
"109","100","1","123","123"
"110","100","1","151","151"
"106","100","1","140","140"
"111","100","1","138","138"
"112","100","1","119","119"
"100","50","1","167","167"
"114","100","1","83","83"
"108","100","1","184","184"
"118","100","1","127","127"
"117","100","1","192","192"
"113","100","1","179","179"
"115","100","1","102","102"
"119","100","1","139","139"
"120","100","1","135","135"
"116","100","1","181","181"
"125","100","1","123","123"
"121","100","1","132","132"
"124","100","1","137","137"
"122","100","1","159","159"
"123","100","1","140","140"
"129","100","1","133","133"
"128","100","1","144","144"
"127","100","1","188","188"
"126","100","1","152","152"
"132","100","1","144","144"
"133","100","1","110","110"
"130","100","1","148","148"
"134","100","1","166","166"
"131","100","1","230","230"
"138","100","1","153","153"
"135","100","1","132","132"
"136","100","1","162","162"
"140","100","1","104","104"
"137","100","1","139","139"
"143","100","1","102","102"
"84","50","1","180","180"
"142","100","1","126","126"
"141","100","1","146","146"
"145","100","1","133","133"
"139","100","1","115","115"
"146","100","1","130","130"
"144","100","1","154","154"
"148","100","1","156","156"
"147","100","1","121","121"
"149","100","1","120","120"
"151","100","1","127","127"
"152","100","1","153","153"
"154","100","1","138","138"
"155","100","1","141","141"
"153","100","1","126","126"
"156","100","1","209","209"
"157","100","1","126","126"
"159","100","1","128","128"
"158","100","1","118","118"
"160","100","1","141","141"
"161","100","1","176","176"
"162","100","1","118","118"
"163","100","1","119","119"
"164","100","1","103","103"
"165","100","1","120","120"
"166","100","1","132","132"
"169","100","1","120","120"
"167","100","1","137","137"
"168","100","1","156","156"
"170","100","1","172","172"
"174","100","1","122","122"
"172","100","1","153","153"
"173","100","1","181","181"
"176","100","1","197","197"
"175","100","1","134","134"
"171","100","1","127","127"
"177","100","1","131","131"
"179","100","1","129","129"
"178","100","1","135","135"
"181","100","1","130","130"
"182","100","1","123","123"
"183","100","1","112","112"
"180","100","1","181","181"
"185","100","1","209","209"
"186","100","1","134","134"
"184","100","1","128","128"
"188","100","1","136","136"
"187","100","1","126","126"
"191","100","1","135","135"
"189","100","1","181","181"
"196","100","1","109","109"
"193","100","1","128","128"
"194","100","1","137","137"
"190","100","1","180","180"
"198","100","1","150","150"
"192","100","1","132","132"
"197","100","1","127","127"
"195","100","1","180","180"
"200","100","1","133","133"
"201","150","1","125","125"
"204","150","1","100","100"
"203","150","1","81","81"
"199","100","1","119","119"
"202","150","1","125","125"
"207","150","1","151","151"
"205","150","1","121","121"
"206","150","1","90","90"
"213","150","1","84","84"
"209","150","1","109","109"
"210","150","1","84","84"
"212","150","1","106","106"
"208","150","1","130","130"
"216","150","1","110","110"
"211","150","1","98","98"
"214","150","1","96","96"
"215","150","1","104","104"
"218","150","1","101","101"
"219","150","1","97","97"
"217","150","1","98","98"
"221","150","1","79","79"
"220","150","1","105","105"
"222","150","1","102","102"
"225","150","1","91","91"
"223","150","1","103","103"
"226","150","1","133","133"
"224","150","1","132","132"
"227","150","1","101","101"
"230","150","1","112","112"
"231","150","1","88","88"
"232","150","1","79","79"
"233","150","1","154","154"
"229","150","1","116","116"
"228","150","1","99","99"
"235","150","1","122","122"
"238","150","1","102","102"
"237","150","1","120","120"
"239","150","1","112","112"
"234","150","1","84","84"
"236","150","1","107","107"
"242","150","1","88","88"
"244","150","1","93","93"
"241","150","1","115","115"
"240","150","1","96","96"
"247","150","1","94","94"
"243","150","1","135","135"
"245","150","1","90","90"
"249","150","1","122","122"
"251","150","1","90","90"
"253","150","1","80","80"
"246","150","1","103","103"
"150","100","1","123","123"
"252","150","1","80","80"
"254","150","1","75","75"
"250","150","1","107","107"
"255","150","1","100","100"
"259","150","1","89","89"
"256","150","1","156","156"
"257","150","1","119","119"
"258","150","1","104","104"
"262","150","1","87","87"
"263","150","1","90","90"
"260","150","1","106","106"
"266","150","1","67","67"
"265","150","1","93","93"
"270","150","1","119","119"
"267","150","1","93","93"
"268","150","1","88","88"
"248","150","1","85","85"
"264","150","1","107","107"
"271","150","1","105","105"
"269","150","1","110","110"
"274","150","1","85","85"
"278","150","1","69","69"
"272","150","1","115","115"
"275","150","1","105","105"
"273","150","1","155","155"
"277","150","1","73","73"
"280","150","1","125","125"
"276","150","1","111","111"
"279","150","1","96","96"
"282","150","1","91","91"
"284","150","1","99","99"
"283","150","1","109","109"
"286","150","1","126","126"
"281","150","1","113","113"
"287","150","1","98","98"
"285","150","1","92","92"
"288","150","1","120","120"
"291","150","1","97","97"
"292","150","1","102","102"
"294","150","1","90","90"
"290","150","1","113","113"
"293","150","1","93","93"
"295","150","1","117","117"
"296","150","1","109","109"
"298","150","1","87","87"
"297","150","1","109","109"
"299","150","1","90","90"
"302","200","1","63","63"
"301","200","1","73","73"
"300","150","1","110","110"
"304","200","1","81","81"
"303","200","1","93","93"
"305","200","1","68","68"
"307","200","1","61","61"
"310","200","1","70","70"
"309","200","1","100","100"
"308","200","1","66","66"
"311","200","1","65","65"
"306","200","1","81","81"
"313","200","1","85","85"
"289","150","1","103","103"
"314","200","1","77","77"
"316","200","1","69","69"
"317","200","1","73","73"
"319","200","1","75","75"
"312","200","1","72","72"
"318","200","1","61","61"
"315","200","1","65","65"
"322","200","1","62","62"
"321","200","1","61","61"
"320","200","1","93","93"
"325","200","1","78","78"
"323","200","1","102","102"
"324","200","1","65","65"
"327","200","1","64","64"
"329","200","1","89","89"
"326","200","1","97","97"
"331","200","1","79","79"
"330","200","1","83","83"
"328","200","1","94","94"
"332","200","1","60","60"
"334","200","1","74","74"
"333","200","1","87","87"
"335","200","1","83","83"
"337","200","1","81","81"
"339","200","1","62","62"
"340","200","1","61","61"
"338","200","1","76","76"
"336","200","1","88","88"
"341","200","1","75","75"
"343","200","1","66","66"
"344","200","1","73","73"
"342","200","1","88","88"
"347","200","1","79","79"
"345","200","1","76","76"
"346","200","1","95","95"
"348","200","1","93","93"
"350","200","1","70","70"
"351","200","1","76","76"
"349","200","1","80","80"
"355","200","1","67","67"
"353","200","1","66","66"
"352","200","1","80","80"
"356","200","1","64","64"
"354","200","1","75","75"
"357","200","1","76","76"
"360","200","1","61","61"
"358","200","1","103","103"
"359","200","1","116","116"
"363","200","1","65","65"
"365","200","1","63","63"
"362","200","1","84","84"
"261","150","1","122","122"
"364","200","1","65","65"
"367","200","1","84","84"
"361","200","1","84","84"
"366","200","1","96","96"
"368","200","1","75","75"
"370","200","1","96","96"
"369","200","1","73","73"
"371","200","1","78","78"
"374","200","1","68","68"
"375","200","1","58","58"
"373","200","1","82","82"
"376","200","1","78","78"
"377","200","1","70","70"
"378","200","1","79","79"
"381","200","1","96","96"
"379","200","1","65","65"
"382","200","1","65","65"
"383","200","1","73","73"
"384","200","1","70","70"
"386","200","1","75","75"
"380","200","1","88","88"
"387","200","1","76","76"
"385","200","1","78","78"
"388","200","1","82","82"
"391","200","1","58","58"
"389","200","1","72","72"
"393","200","1","72","72"
"390","200","1","86","86"
"394","200","1","59","59"
"392","200","1","81","81"
"395","200","1","72","72"
"398","200","1","70","70"
"396","200","1","71","71"
"397","200","1","80","80"
"399","200","1","93","93"
"400","200","1","72","72"
"372","200","1","88","88"
